,target,predicted,name
0,-0.32,-0.5143633484840393,EHEE
1,-0.68,-0.22534312307834625,EHEE
2,0.05,-0.30425024032592773,HEEH
3,-0.17,-0.37542951107025146,EEHEE
4,-0.23,-0.3371429145336151,EEHEE
5,0.36,-0.02527405321598053,EHEE
6,-0.44,0.9859405159950256,EHEE
7,-0.66,-0.30936720967292786,EEHEE
8,-0.11,-0.24735990166664124,HEEH
9,0.0,0.03325318172574043,EHEE
10,-0.57,-0.4459381699562073,HEEH
11,-0.02,-0.40933355689048767,HEEH
12,-0.25,-0.5046388506889343,EHEE
13,-0.12,0.1634230762720108,EEHEE
14,-0.22,0.022451691329479218,HEEH
15,-0.36,-0.1709708422422409,HHH
16,0.18,0.1215447336435318,HHH
17,0.21,-0.06675520539283752,HEEH
18,-0.67,-0.13839638233184814,HEEH
19,-0.03,-0.18104058504104614,EHEE
20,-0.68,-0.26177075505256653,EEHEE
21,-0.38,-0.3551015555858612,EHEE
22,0.05,-0.16798965632915497,EEHEE
23,0.03,-0.27349376678466797,HHH
24,-0.72,-0.49745771288871765,HEEH
25,-0.12,-0.18868547677993774,HHH
26,0.47,-0.3480115532875061,HEEH
27,-0.31,-0.17389267683029175,EHEE
28,0.99,0.3523494303226471,EEHEE
29,0.51,0.22597138583660126,HEEH
30,0.3,-0.1687411367893219,EEHEE
31,-0.01,-0.4016273021697998,EHEE
32,0.31,0.006168663501739502,HEEH
33,0.07,-0.3494495451450348,HEEH
34,0.01,-0.17803624272346497,HHH
35,-0.0,-0.3100631535053253,EHEE
36,-0.1,-0.22568881511688232,EEHEE
37,-0.44,-0.12510374188423157,HEEH
38,-0.19,-0.20455671846866608,HEEH
39,0.51,-0.11705733835697174,HHH
40,-0.57,-0.21443253755569458,EHEE
41,0.44,-0.0261190515011549,EEHEE
42,-0.31,-0.13304412364959717,HEEH
43,0.13,0.027573537081480026,EEHEE
44,-0.47,-0.17238062620162964,EHEE
45,-0.25,-0.061796125024557114,HEEH
46,-0.41,-0.0660480484366417,HEEH
47,-0.09,0.23054851591587067,EEHEE
48,0.15,0.4509550631046295,HEEH
49,-0.11,-0.1659315824508667,HHH
50,-0.25,-0.11683027446269989,EHEE
51,-0.7,-0.43286871910095215,HEEH
52,-0.5,-0.11627209186553955,HHH
53,-0.03,-0.20044101774692535,HEEH
54,0.75,0.031621430069208145,HEEH
55,-0.22,-0.24589087069034576,HHH
56,0.09,-0.14551971852779388,HHH
57,-0.23,-0.46340838074684143,EHEE
58,-0.75,-0.33580514788627625,HHH
59,-0.02,-0.250419557094574,HEEH
60,0.01,0.27323198318481445,HHH
61,-0.29,-0.1664362996816635,EEHEE
62,-0.91,-0.27948564291000366,HEEH
63,-0.49,0.07780584692955017,EHEE
64,-0.22,-0.16374832391738892,HEEH
65,-0.35,-0.15043410658836365,HHH
66,0.12,-0.10830482840538025,HEEH
67,-0.17,-0.2283756583929062,HHH
68,0.21,-0.1443108171224594,EEHEE
69,0.13,-0.16252125799655914,EHEE
70,-0.36,-0.26909881830215454,EHEE
71,0.13,-0.3018462359905243,HHH
72,0.05,-0.31271475553512573,HHH
73,-0.38,-0.2940717935562134,EHEE
74,0.58,-0.2376783937215805,EEHEE
75,0.47,-0.17929421365261078,EEHEE
76,0.5,0.4662052094936371,EHEE
77,-0.17,-0.3994869887828827,HEEH
78,-0.01,-0.1146102100610733,HHH
79,-1.0,-0.41218361258506775,HEEH
80,-0.03,-0.23597277700901031,EHEE
81,-0.19,-0.2615334093570709,HHH
82,-0.58,-0.18897263705730438,EHEE
83,0.09,-0.007630739361047745,EHEE
84,-0.32,-0.4005511701107025,EEHEE
85,0.07,-0.5149614810943604,EHEE
86,-0.17,-0.08854808658361435,HHH
87,0.09,-0.25694015622138977,EEHEE
88,-0.21,0.09724190831184387,HHH
89,-0.62,-0.09543053805828094,HEEH
90,0.03,-0.3689822852611542,EHEE
91,-0.02,-0.27221283316612244,EHEE
92,-0.51,-0.3680839240550995,EHEE
93,-0.17,-0.24312381446361542,EEHEE
94,-0.73,-0.4554172456264496,EEHEE
95,-0.71,-0.22615665197372437,HEEH
96,-0.0,-0.2726183235645294,EHEE
97,0.18,0.09080588817596436,EEHEE
98,-0.71,-0.3789006471633911,HEEH
99,-0.13,-0.2995626628398895,HHH
100,0.33,-0.131400927901268,HEEH
101,-0.08,-0.23298229277133942,EEHEE
102,0.06,0.00455334410071373,EEHEE
103,0.07,-0.03847119212150574,EHEE
104,-0.19,-0.04550222307443619,HHH
105,-0.08,-0.3941299319267273,EHEE
106,-0.41,-0.1529054194688797,HEEH
107,0.23,-0.5114755034446716,EHEE
108,-0.17,-0.13856443762779236,HEEH
109,0.27,-0.11307701468467712,HHH
110,0.18,-0.22032833099365234,EEHEE
111,-0.29,0.19225852191448212,HEEH
112,-0.27,-0.2780987620353699,EHEE
113,-0.04,-0.3839171528816223,HEEH
114,0.09,-0.40478309988975525,HEEH
115,0.14,0.023289691656827927,EEHEE
116,-0.75,-0.12486422061920166,EEHEE
117,-0.15,-0.11899563670158386,EHEE
118,-0.53,-0.1989680528640747,EEHEE
119,-0.19,0.3395894765853882,EEHEE
120,-0.93,-0.02046087011694908,EEHEE
121,0.25,-0.1961519718170166,HEEH
122,-0.13,-0.22059108316898346,EHEE
123,0.33,-0.319058358669281,EEHEE
124,0.45,-0.001230429857969284,EEHEE
125,0.6,0.8953391909599304,EEHEE
126,-0.04,-0.013869058340787888,EHEE
127,0.03,0.24002103507518768,EEHEE
128,0.2,-0.056021712720394135,EHEE
129,-0.45,-0.4119909107685089,HHH
130,0.42,-0.20915864408016205,EEHEE
131,-0.34,-0.32424572110176086,HHH
132,-0.63,-0.31262069940567017,EEHEE
133,-0.26,-0.34651297330856323,EEHEE
134,-0.62,-0.33829668164253235,EHEE
135,-0.17,0.09588080644607544,HHH
136,0.13,-0.476816326379776,EHEE
137,1.14,0.840485692024231,HEEH
138,0.24,-0.08954571187496185,EHEE
139,-0.23,-0.4653535485267639,HHH
140,0.49,0.19204789400100708,EHEE
141,-0.22,-0.2283286154270172,EEHEE
142,-0.06,-0.43570539355278015,EHEE
143,0.24,0.009704362601041794,EHEE
144,0.21,-0.23362797498703003,HEEH
145,0.09,-0.3075028657913208,HHH
146,-0.26,-0.18023110926151276,EHEE
147,-0.34,-0.09775352478027344,HHH
148,-0.13,-0.4862804412841797,EEHEE
149,0.53,0.07586057484149933,HHH
150,1.47,0.2032615691423416,HHH
151,0.33,-0.03778376057744026,EEHEE
152,0.34,-0.18532410264015198,EEHEE
153,0.27,0.04856599494814873,HHH
154,-0.15,-0.1473897099494934,HHH
155,-0.28,-0.41281330585479736,EHEE
156,-0.44,0.18967995047569275,HHH
157,-0.38,-0.39531445503234863,EEHEE
158,-0.28,-0.18335555493831635,HEEH
159,0.28,-0.0243990458548069,HEEH
160,1.33,0.5708857774734497,EHEE
161,-0.61,0.2044524997472763,EEHEE
162,-0.06,0.036313820630311966,EEHEE
163,-0.25,0.1159985363483429,EHEE
164,0.2,-0.24645213782787323,EEHEE
165,-0.24,-0.09072969853878021,EHEE
166,0.09,-0.048280518501996994,EEHEE
167,-0.18,-0.06609281897544861,EEHEE
168,-0.03,-0.6055669784545898,HHH
169,0.46,1.2177311182022095,HEEH
170,-0.43,-0.17809012532234192,HEEH
171,0.41,-0.095662921667099,HHH
172,0.23,-0.04299500957131386,EHEE
